product_id,current_stock,reorder_level
1,814,219
2,986,161
3,242,174
4,772,186
5,750,253
6,702,287
7,963,197
8,783,207
9,249,153
10,287,277
11,320,178
12,1000,293
13,605,209
14,525,182
15,347,151
16,780,291
17,943,195
18,535,166
19,506,193
20,341,270
21,548,134
22,278,219
23,361,244
24,226,136
25,640,243
26,414,179
27,843,206
28,291,162
29,591,197
30,887,156
31,784,241
32,828,212
33,854,117
34,782,214
35,483,245
36,961,144
37,282,160
38,481,131
39,600,220
40,609,122
41,254,280
42,452,148
43,348,268
44,893,208
45,949,148
46,369,146
47,667,144
48,643,245
49,652,191
50,518,233
51,208,116
52,952,100
53,402,236
54,967,130
55,904,200
56,298,207
57,734,243
58,884,196
59,977,150
60,804,175
61,580,244
62,727,203
63,445,128
64,440,105
65,704,190
66,699,282
67,576,287
68,330,177
69,863,139
70,786,259
71,643,283
72,979,256
73,455,157
74,246,122
75,368,133
76,429,281
77,456,100
78,664,151
79,857,135
80,578,196
81,753,141
82,566,117
83,565,252
84,906,118
85,277,183
86,543,231
87,302,115
88,520,212
89,953,290
90,968,216
91,582,169
92,885,167
93,298,244
94,837,224
95,793,187
96,521,160
97,540,243
98,234,158
99,947,200
100,583,252
101,669,249
102,380,168
103,646,159
104,609,296
105,458,278
106,716,191
107,540,198
108,527,242
109,837,275
110,462,295
111,543,222
112,395,289
113,712,101
114,950,261
115,308,220
116,863,117
117,281,187
118,217,217
119,482,215
120,302,143
121,770,240
122,366,237
123,867,188
124,223,279
125,827,128
126,626,121
127,630,144
128,607,205
129,744,144
130,271,250
131,647,266
132,480,131
133,994,134
134,688,235
135,801,113
136,220,228
137,399,157
138,832,220
139,282,199
140,889,259
141,324,282
142,527,240
143,526,115
144,967,213
145,354,131
146,620,221
147,558,239
148,232,294
149,217,205
150,234,275
151,735,252
152,246,215
153,753,299
154,720,180
155,584,228
156,408,261
157,834,115
158,389,192
159,613,133
160,542,181
161,406,124
162,272,298
163,449,218
164,219,206
165,530,178
166,853,183
167,604,232
168,968,212
169,609,150
170,318,275
171,337,114
172,960,168
173,827,182
174,800,293
175,239,193
176,294,264
177,916,118
178,304,133
179,210,209
180,590,106
181,668,211
182,902,229
183,972,280
184,366,257
185,424,154
186,725,238
187,788,243
188,230,127
189,774,299
190,981,145
191,992,277
192,802,173
193,633,168
194,824,132
195,828,188
196,905,220
197,484,236
198,531,162
199,903,135
200,931,263
