user_id,age,city,joined_date
1,58,Mumbai,2026-01-15 23:38:13.574664
2,35,Pune,2025-06-26 23:38:13.574664
3,26,Mumbai,2024-03-19 23:38:13.574664
4,52,Mumbai,2024-06-15 23:38:13.574664
5,45,Mumbai,2026-01-10 23:38:13.574664
6,23,Pune,2025-06-16 23:38:13.574664
7,50,Mumbai,2024-07-15 23:38:13.574664
8,30,Bangalore,2025-06-29 23:38:13.574664
9,46,Delhi,2023-11-04 23:38:13.574664
10,18,Pune,2024-02-26 23:38:13.574664
11,45,Delhi,2025-05-01 23:38:13.574664
12,27,Pune,2023-06-05 23:38:13.574664
13,39,Mumbai,2025-11-07 23:38:13.574664
14,42,Mumbai,2025-02-07 23:38:13.574664
15,40,Delhi,2023-11-06 23:38:13.574664
16,20,Bangalore,2024-08-09 23:38:13.574664
17,25,Bangalore,2025-11-21 23:38:13.574664
18,53,Delhi,2023-10-14 23:38:13.574664
19,58,Delhi,2024-06-28 23:38:13.574664
20,30,Mumbai,2025-12-25 23:38:13.574664
21,60,Pune,2023-12-11 23:38:13.574664
22,36,Mumbai,2023-09-18 23:38:13.574664
23,32,Mumbai,2025-01-16 23:38:13.574664
24,35,Bangalore,2024-04-30 23:38:13.574664
25,41,Pune,2025-01-26 23:38:13.574664
26,40,Pune,2024-03-25 23:38:13.574664
27,35,Mumbai,2024-05-27 23:38:13.574664
28,58,Pune,2024-08-12 23:38:13.574664
29,33,Pune,2024-10-24 23:38:13.574664
30,42,Delhi,2023-07-08 23:38:13.574664
31,58,Pune,2024-03-10 23:38:13.574664
32,38,Mumbai,2025-06-20 23:38:13.574664
33,20,Delhi,2024-12-26 23:38:13.574664
34,35,Mumbai,2025-07-08 23:38:13.574664
35,54,Delhi,2025-07-07 23:38:13.574664
36,59,Bangalore,2024-12-31 23:38:13.574664
37,59,Bangalore,2025-09-16 23:38:13.574664
38,34,Pune,2025-06-02 23:38:13.574664
39,53,Delhi,2024-01-07 23:38:13.574664
40,55,Bangalore,2023-08-05 23:38:13.574664
41,55,Bangalore,2025-02-04 23:38:13.574664
42,32,Pune,2024-09-06 23:38:13.574664
43,49,Mumbai,2023-12-29 23:38:13.574664
44,21,Mumbai,2025-09-06 23:38:13.574664
45,58,Pune,2023-11-21 23:38:13.574664
46,45,Mumbai,2025-01-11 23:38:13.574664
